prime,pos_error,neg_error,x_pos_error,x_neg_error
161543,32.49,-22.2,40137,70771
131221,23.69,-23.66,121182,10036
112571,32.95,-19.93,105355,68506
128399,64.16,-0.0,71053,128397
104759,51.11,-0.0,54804,104757
156707,26.1,-26.53,85618,124606
156253,28.8,-28.78,150751,5499
122611,34.93,-11.77,75862,46294
123941,24.7,-24.64,45448,78490
102859,24.54,-22.8,15369,71642
195271,39.31,-17.5,98062,68246
163661,30.24,-30.25,144436,19222
170633,29.02,-29.04,49722,120908
169063,18.16,-32.87,164292,139570
125777,25.79,-25.77,35935,89839
124171,39.06,-10.56,123858,27577
120011,28.92,-23.29,56563,66068
130859,27.93,-23.2,2478,77236
165887,42.14,-15.27,69021,49875
197551,28.33,-33.93,88599,115794
195457,33.37,-33.36,73295,122159
116189,28.23,-28.2,14977,101209
113983,28.23,-27.3,7004,6703
120223,30.51,-17.08,92944,53522
173209,32.69,-32.76,113381,59825
192377,32.28,-32.31,6058,186316
177217,31.8,-31.82,120651,56563
105037,24.32,-24.32,25175,79859
105563,25.4,-17.81,99210,62953
111103,22.91,-23.41,110529,45011
188143,21.42,-33.56,155827,91194
122041,23.56,-23.51,40723,81315
131933,36.06,-36.07,43976,87954
129733,24.59,-24.66,78657,51073
143947,26.82,-21.76,97533,54607
185303,96.08,-0.0,111180,185301
136511,41.2,-8.1,93206,101027
142757,27.13,-27.16,76359,66395
144731,26.44,-29.79,107809,125837
137911,25.65,-23.6,29245,125514
170579,45.42,-18.31,85288,85770
189691,41.57,-16.81,118485,37937
109013,26.22,-26.25,90036,18974
118147,24.68,-23.11,95035,114062
105097,21.34,-21.35,83721,30601
153749,26.66,-26.63,64539,89207
105601,26.28,-26.22,70771,34827
120283,26.25,-22.46,34243,50320
154279,58.56,-0.0,51425,154277
170971,34.06,-22.67,8350,125243
104479,17.74,-27.27,61158,91736
121021,25.09,-25.14,8189,112829
113279,56.49,-0.0,50628,113277
145681,26.71,-26.73,53534,92144
137393,28.05,-28.03,81358,56032
137831,10.21,-41.56,137797,67410
161059,21.56,-32.54,130591,84885
109139,38.13,-9.57,42437,106781
126583,35.46,-11.88,119955,104632
114553,26.11,-26.08,14940,99610
162937,26.92,-26.9,61100,101834
161729,30.27,-30.27,136335,25391
117191,53.42,-0.0,47164,117189
116423,43.71,-6.43,113912,89744
114743,44.53,-7.08,19293,49915
106033,23.25,-23.23,76006,30024
136417,25.09,-25.11,87378,49036
113147,23.17,-22.03,88068,20572
115877,27.91,-27.94,41383,74491
128981,30.59,-30.61,78681,50297
130027,38.83,-31.17,78015,104020
199499,46.06,-17.2,99748,11467
170801,29.5,-29.46,10745,160053
147517,27.1,-27.08,4605,142909
113173,24.85,-24.87,82857,30313
106859,33.1,-12.53,7820,98099
175909,29.91,-29.96,70314,105592
182341,32.37,-32.41,162693,19645
101359,27.71,-17.25,46971,31319
136943,27.54,-27.23,1532,135147
168719,78.03,-0.0,34053,168717
117851,28.35,-23.73,33937,34266
111653,23.72,-23.72,107717,3933
124981,27.46,-27.45,45446,79532
105373,22.97,-22.92,80701,24669
163621,37.71,-37.71,264,163354
185869,31.5,-31.45,44336,141530
157771,33.18,-30.41,141352,16798
196579,30.61,-33.39,94921,159127
145531,26.91,-27.82,37476,56378
110543,42.79,-0.73,28393,36066
139459,23.6,-28.76,119452,15451
121061,29.14,-29.18,50849,70209
156601,26.46,-26.3,99,138319
140281,25.19,-25.17,131176,9102
124739,45.96,-23.29,62368,93553
136531,31.31,-16.53,47648,18847
176899,50.33,-32.4,70758,141518
107021,24.08,-24.03,14417,92601
176549,27.34,-27.38,100097,76449
174721,31.46,-31.45,108635,66083
169657,27.43,-27.46,68413,101241
108079,35.36,-16.36,77076,81540
160201,29.18,-29.2,116198,44000
114643,20.27,-26.29,840,113540
193367,38.71,-19.5,110691,82321
133073,27.29,-27.33,132407,663
183247,23.44,-34.31,72189,29831
142553,31.02,-30.96,62692,79858
110567,26.83,-22.08,27995,56390
140297,25.26,-25.25,48572,91722
115309,27.89,-27.87,9025,106281
175261,29.8,-29.83,89464,85794
120671,44.9,-1.03,115994,108589
192347,36.32,-28.7,160356,186478
123269,25.18,-25.2,13967,109299
115151,27.32,-22.75,41069,105189
140977,27.66,-27.64,17622,123352
124753,24.32,-24.31,122222,2528
192187,35.85,-24.47,182676,38436
120383,35.63,-13.16,39833,94544
167449,27.74,-27.79,60532,106914
137197,27.51,-27.51,7963,129231
102653,23.7,-23.62,51680,50970
111467,28.19,-21.6,35960,23469
189851,37.24,-32.0,123763,49795
117673,22.82,-22.83,10231,107439
117709,23.62,-23.55,20274,97432
113749,27.86,-27.84,245,113501
114847,25.26,-25.01,32926,55954
129749,26.14,-26.18,37061,92685
1020389,80.51,-80.51,255096,765290
