prime,max,min,mean,median,std dev,x_max,x_min
180289,255,-255,0.0,0.0,122.57276750106898,11463,168821
156419,579,-6,193.0,183.0,114.17055954200238,78209,11172
111493,306,-306,0.0,0.0,96.39026575638177,37164,74328
117959,661,0,465.0,497.0,99.14593620497114,50553,0
156683,361,-138,81.0,37.0,114.26686600294421,72315,12052
188299,328,-162,75.0,73.0,125.26605020072587,90902,38958
197389,278,-278,0.0,0.0,128.25397979365457,73300,123966
112589,235,-235,0.0,0.0,96.86287558154834,29627,82961
181837,285,-285,0.0,0.0,123.09786079731462,60005,121831
186191,632,0,461.0,502.0,124.56290244779582,84774,0
163411,348,-130,99.0,85.0,116.69440146306664,67618,28174
166363,391,-214,59.0,24.0,117.74371886785478,66545,33272
173531,459,-18,153.0,147.0,120.25355157410714,86765,11568
131101,243,-243,0.0,0.0,104.52312343542788,47673,83427
121951,365,-36,167.0,166.0,100.8096390860021,38667,2972
148961,235,-235,0.0,0.0,111.41551357915664,38441,110519
153379,371,-245,63.0,43.0,113.05566475320914,61351,30675
110563,281,-128,51.0,19.0,95.98741236526598,44225,22112
187373,405,-405,0.0,0.0,124.9576594940139,62457,124915
132859,304,-104,87.0,81.0,105.22159157086583,50270,22906
