prime,pos_error,neg_error,x_pos_error,x_neg_error,max_error,max_error_ind,x_max_error,mag_diff,mod_4,dist_check
197,1.3,-1.48,85.27919,84.26396,1.48,0,84.26396,0.17999999999999994,1,69.54
199,2.03,-0.82,55.77889,71.35678,2.03,1,55.77889,1.21,3,27.14
101359,27.71,-17.25,46.34122,30.89908,27.71,1,46.34122,10.46,3,22.76
102653,23.7,-23.62,50.34436,49.65271,23.7,1,50.34436,0.0799999999999983,1,0.0
102859,24.54,-22.8,14.94181,69.65069,24.54,1,14.94181,1.7399999999999984,3,15.41
104479,17.74,-27.27,58.53617,87.80329,27.27,0,87.80329,9.530000000000001,3,46.34
104759,51.11,-0.0,52.31436,99.99809,51.11,1,52.31436,51.11,3,52.31
105037,24.32,-24.32,23.96774,76.0294,24.32,1,23.96774,0.0,1,0.0
105097,21.34,-21.35,79.66069,29.11691,21.35,0,29.11691,0.010000000000001563,1,8.78
105373,22.97,-22.92,76.58603,23.41112,22.97,1,76.58603,0.04999999999999716,1,0.0
105563,25.4,-17.81,93.98179,59.63548,25.4,1,93.98179,7.59,3,53.62
105601,26.28,-26.22,67.01736,32.9798,26.28,1,67.01736,0.060000000000002274,1,0.0
106033,23.25,-23.23,71.68146,28.31571,23.25,1,71.68146,0.019999999999999574,1,0.0
106859,33.1,-12.53,7.31805,91.80228,33.1,1,7.31805,20.57,3,0.88
107021,24.08,-24.03,13.47119,86.52601,24.08,1,13.47119,0.04999999999999716,1,0.0
108079,35.36,-16.36,71.3145,75.44481,35.36,1,71.3145,19.0,3,46.76
109013,26.22,-26.25,82.59198,17.40526,26.25,0,17.40526,0.030000000000001137,1,0.0
109139,38.13,-9.57,38.88344,97.83945,38.13,1,38.88344,28.560000000000002,3,36.72
110543,42.79,-0.73,25.68503,32.62622,42.79,1,25.68503,42.06,3,41.69
110567,26.83,-22.08,25.31949,51.00075,26.83,1,25.31949,4.75,3,23.68
111103,22.91,-23.41,99.48336,40.51286,23.41,0,40.51286,0.5,3,40.0
111467,28.19,-21.6,32.26067,21.05466,28.19,1,32.26067,6.59,3,46.68
111653,23.72,-23.72,96.47479,3.52252,23.72,1,96.47479,0.0,1,0.0
112571,32.95,-19.93,93.58982,60.85582,32.95,1,93.58982,13.020000000000003,3,54.45
113147,23.17,-22.03,77.83503,18.18166,23.17,1,77.83503,1.1400000000000006,3,3.98
113173,24.85,-24.87,73.21269,26.78466,24.87,0,26.78466,0.019999999999999574,1,0.0
113279,56.49,-0.0,44.69319,99.99823,56.49,1,44.69319,56.49,3,44.69
113749,27.86,-27.84,0.21539,99.78198,27.86,1,0.21539,0.019999999999999574,1,0.0
113983,28.23,-27.3,6.14478,5.8807,28.23,1,6.14478,0.9299999999999997,3,87.97
114553,26.11,-26.08,13.042,86.95538,26.11,1,13.042,0.030000000000001137,1,0.0
114643,20.27,-26.29,0.73271,99.03788,26.29,0,99.03788,6.02,3,0.23
114743,44.53,-7.08,16.8141,43.50156,44.53,1,16.8141,37.45,3,39.68
114847,25.26,-25.01,28.66945,48.72047,25.26,1,28.66945,0.25,3,22.61
115151,27.32,-22.75,35.66534,91.34875,27.32,1,35.66534,4.57,3,27.01
115309,27.89,-27.87,7.8268,92.1706,27.89,1,7.8268,0.019999999999999574,1,0.0
115877,27.91,-27.94,35.71287,64.28454,27.94,0,64.28454,0.030000000000001137,1,0.0
116189,28.23,-28.2,12.8902,87.10721,28.23,1,12.8902,0.030000000000001137,1,0.0
116423,43.71,-6.43,97.84321,77.08442,43.71,1,97.84321,37.28,3,74.93
117191,53.42,-0.0,40.24541,99.99829,53.42,1,40.24541,53.42,3,40.24
117673,22.82,-22.83,8.69443,91.30302,22.83,0,91.30302,0.00999999999999801,1,0.0
117709,23.62,-23.55,17.22383,82.77362,23.62,1,17.22383,0.07000000000000028,1,0.0
117851,28.35,-23.73,28.79653,29.0757,28.35,1,28.79653,4.620000000000001,3,42.13
118147,24.68,-23.11,80.43793,96.54244,24.68,1,80.43793,1.5700000000000003,3,76.98
120011,28.92,-23.29,47.13151,55.05162,28.92,1,47.13151,5.630000000000003,3,2.18
120223,30.51,-17.08,77.30967,44.51894,30.51,1,77.30967,13.430000000000003,3,21.83
120283,26.25,-22.46,28.46869,41.83467,26.25,1,28.46869,3.789999999999999,3,29.7
120383,35.63,-13.16,33.08856,78.53601,35.63,1,33.08856,22.470000000000002,3,11.62
120671,44.9,-1.03,96.12417,89.98765,44.9,1,96.12417,43.87,3,86.11
121021,25.09,-25.14,6.76659,93.23093,25.14,0,93.23093,0.05000000000000071,1,0.0
121061,29.14,-29.18,42.00279,57.99473,29.18,0,57.99473,0.03999999999999915,1,0.0
122041,23.56,-23.51,33.36829,66.62925,23.56,1,33.36829,0.04999999999999716,1,0.0
122611,34.93,-11.77,61.8721,37.75681,34.93,1,61.8721,23.16,3,0.37
123269,25.18,-25.2,11.3305,88.66706,25.2,0,88.66706,0.019999999999999574,1,0.0
123941,24.7,-24.64,36.66906,63.32852,24.7,1,36.66906,0.05999999999999872,1,0.0
124171,39.06,-10.56,99.74793,22.20889,39.06,1,99.74793,28.5,3,21.96
124739,45.96,-23.29,49.9988,74.999,45.96,1,49.9988,22.67,3,25.0
124753,24.32,-24.31,97.97119,2.0264,24.32,1,97.97119,0.010000000000001563,1,0.0
124981,27.46,-27.45,36.36233,63.63527,27.46,1,36.36233,0.010000000000001563,1,0.0
125777,25.79,-25.77,28.57041,71.42721,25.79,1,28.57041,0.019999999999999574,1,0.0
126583,35.46,-11.88,94.76391,82.65881,35.46,1,94.76391,23.58,3,77.42
128399,64.16,-0.0,55.33766,99.99844,64.16,1,55.33766,64.16,3,55.34
128981,30.59,-30.61,61.00201,38.99567,30.61,0,38.99567,0.019999999999999574,1,0.0
129733,24.59,-24.66,60.62991,39.36778,24.66,0,39.36778,0.07000000000000028,1,0.0
